MAP_NAME MAP07
NAME falling_platform/sewer_falling_platform
X 5344
Y 18912
START_X 5344
START_Y 18912
END_X 5344
END_Y 18912
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 60
THINKTIME 60
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 2.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE LEFT
}

{
TYPE FALLING_PLATFORM
NAME falling_platform/sewer_falling_platform
X 5376
Y 18912
START_X 5376
START_Y 18912
END_X 5376
END_Y 18912
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 60
THINKTIME 60
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 2.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE LEFT
}

{
TYPE FALLING_PLATFORM
NAME falling_platform/sewer_falling_platform
X 5408
Y 18912
START_X 5408
START_Y 18912
END_X 5408
END_Y 18912
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 60
THINKTIME 60
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 2.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE LEFT
}

{
TYPE FALLING_PLATFORM
NAME falling_platform/sewer_falling_platform
X 5440
Y 18912
START_X 5440
START_Y 18912
END_X 5440
END_Y 18912
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 60
THINKTIME 60
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 2.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE LEFT
}

{
TYPE ITEM
NAME item/tortoise_statue
X 5823
Y 18894
START_X 5823
START_Y 18894
END_X 5823
END_Y 18894
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 0.00
WEIGHT 1.00
OBJECTIVE_NAME Tortoise Statue
REQUIRES 
ACTIVE TRUE
FACE LEFT
}

{
TYPE SCRIPT_LINE_DEF
NAME common/line_def
X 5184
Y 18752
START_X 5184
START_Y 18752
END_X 5184
END_Y 18912
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 60
THINKTIME 60
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 0.00
WEIGHT 1.00
OBJECTIVE_NAME sewer_boss_start
REQUIRES 
ACTIVE TRUE
FACE LEFT
}

{
TYPE ENEMY
NAME boss/flying_maggot
X 4901
Y 18823
START_X 4901
START_Y 18823
END_X 4901
END_Y 18823
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 2
THINKTIME 2
MENTAL 0
HEALTH 450
DAMAGE 0
SPAWNTIME 0
SPEED 6.00
WEIGHT 1.00
OBJECTIVE_NAME FLYING_MAGGOT_3
REQUIRES 
ACTIVE FALSE
FACE RIGHT
}

{
TYPE SAVE_POINT
NAME common/save_point
X 4801
Y 16095
START_X 4801
START_Y 16095
END_X 4801
END_Y 16095
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 60
THINKTIME 60
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 0.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE LEFT
}

{
TYPE ENEMY
NAME boss/sewer_boss
X 5583
Y 19200
START_X 5583
START_Y 18768
END_X 5583
END_Y 19200
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 300
DAMAGE 1
SPAWNTIME 0
SPEED 6.00
WEIGHT 1.00
OBJECTIVE_NAME SEWER_BOSS
REQUIRES SEWER_BOSS_TRIGGER
ACTIVE FALSE
FACE LEFT
}

{
TYPE ITEM
NAME item/iron_key
X 6766
Y 15286
START_X 6766
START_Y 15286
END_X 6766
END_Y 15286
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 0.00
WEIGHT 1.00
OBJECTIVE_NAME Sewage Restricted Zone Key
REQUIRES 
ACTIVE TRUE
FACE LEFT
}

{
TYPE TARGET
NAME SEWER_BOSS_TARGET_RIGHT
START_X 5583
START_Y 18945
}

{
TYPE TARGET
NAME SEWER_BOSS_TARGET_LEFT
START_X 5217
START_Y 18952
}

{
TYPE TARGET
NAME SEWER_BOSS_SLIME_TARGET
START_X 5300
START_Y 18785
}

{
TYPE TARGET
NAME PILL_TARGET_LEFT
START_X 5400
START_Y 19162
}

{
TYPE TARGET
NAME PILL_TARGET_RIGHT
START_X 5600
START_Y 19165
}

{
TYPE TRIGGER
TRIGGER_NAME SEWER_BOSS
TRIGGER_COUNT 0
TRIGGER_TOTAL 1
TRIGGER_TYPE RUN_SCRIPT
TRIGGER_TARGET sewer_boss_die
}

MAP_NAME MAP09
REMOVE_ENTITY null 8128 12224
UPDATE_ENTITY_BY_START 8269 12160 MAX_THINKTIME 600
UPDATE_ENTITY_BY_START 8640 12160 MAX_THINKTIME 600
ADD_ENTITY
{
TYPE VANISHING_PLATFORM
NAME vanishing_platform/castle_vanishing_platform
X 8192
Y 12224
START_X 8192
START_Y 12224
END_X 8192
END_Y 12224
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 60
THINKTIME 60
MENTAL 0
HEALTH 1
DAMAGE 0
SPAWNTIME 0
SPEED 0.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES EVIL_EDGAR_LIFT
ACTIVE FALSE
FACE LEFT
}

{
TYPE VANISHING_PLATFORM
NAME vanishing_platform/castle_vanishing_platform
X 8384
Y 12224
START_X 8384
START_Y 12224
END_X 8384
END_Y 12224
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 60
THINKTIME 60
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 0.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES EVIL_EDGAR_LIFT
ACTIVE FALSE
FACE LEFT
}

{
TYPE VANISHING_PLATFORM
NAME vanishing_platform/castle_vanishing_platform
X 8512
Y 12224
START_X 8512
START_Y 12224
END_X 8512
END_Y 12224
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 60
THINKTIME 60
MENTAL 0
HEALTH 1
DAMAGE 0
SPAWNTIME 0
SPEED 0.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES EVIL_EDGAR_LIFT
ACTIVE FALSE
FACE LEFT
}

{
TYPE VANISHING_PLATFORM
NAME vanishing_platform/castle_vanishing_platform
X 8704
Y 12224
START_X 8704
START_Y 12224
END_X 8704
END_Y 12224
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 60
THINKTIME 60
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 0.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES EVIL_EDGAR_LIFT
ACTIVE FALSE
FACE LEFT
}
